Hobby_1,Hobby_2,Hobby_3,Hobby_4,Hobby_5,SSC Percent,Aptitude Percent,Course_1,Course_2,Course_3,Course_4,Course_5
Reading,Dance,History/Geography,Sports,Cooking/Baking,less than 80,more than 75,Bachelor of Social Work (B.S.W.),Bachelor of Music (B.Mus.),Bachelor In Heritage Management (B.H.M.),Bachelor of Engineering (Mechanical Engineering),Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Sports,Cooking/Baking,more than 80,less than 75,B.Sc. in Forensic Science,Certificate Course in Dramatics (In Marathi),Five Years Integrated Programme (B.A. and M.A.) in Russian,B.Sc. In Physiotherapy,B.Sc. In Nursing
Reading,Dance,History/Geography,Sports,Cooking/Baking,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Diploma in Yogic Education,Bachelor of Physical Education (B.P.Ed.)
Reading,Dance,History/Geography,Sports,Cooking/Baking,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,Bachelor of Arts (B.A.) in English Literature,B.Sc. Aviation,Bachelor of Physical Education (B.P.Ed.)
Reading,Dance,History/Geography,Sports,Cooking/Baking,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Music (B.Mus.),Bachelor of Social Work (B.S.W.),B.Sc. In Physiotherapy,Bachelor of Physical Education (B.P.Ed.)
Reading,Dance,History/Geography,Sports,Photography,less than 80,less than 75,Five Year Integrated Programme (B.A. and M.A.) in German,B.Sc. in Home Science,Bachelor of Library & Information Science (B.L.I.Sc.),Bachelor of Science (B.Sc.) in Physics,Certificate Course in Dramatics (In Marathi)
Reading,Dance,History/Geography,Sports,Photography,less than 80,less than 75,Bachelor of Commerce (Accounting & Finance),B.Sc in Fashion Design,Five Year Integrated Programme (B.A. and M.A.) in German,Diploma in Yogic Education,Bachelor of Management Studies (B.M.S.)
Reading,Dance,History/Geography,Sports,Photography,less than 80,more than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,B.Sc. in Home Science,Bachelor of Library & Information Science (B.L.I.Sc.),B.Sc. In Physiotherapy,Certificate Course in Light Music
Reading,Dance,History/Geography,Sports,Photography,less than 80,more than 75,Bachelor of Commerce (Banking & Insurance),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),B.Sc. in Environmental Sciences,Diploma in Yogic Education,Certificate Course in Studio Singing Technique
Reading,Dance,History/Geography,Sports,Photography,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Bachelor In Heritage Management (B.H.M.),B.Sc. In Physiotherapy,Bachelor of Engineering (Instrumentation Engineering)
Reading,Dance,History/Geography,Sports,Photography,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor of Science in Nautical Sciences,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Engineering (Instrumentation Engineering)
Reading,Dance,History/Geography,Sports,Photography,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,Bachelor of Fine Art (B.F.A.) Painting,Diploma in Yogic Education,Bachelor of Pharmaceutical Sciences (B.Pharm. Sci.)
Reading,Dance,History/Geography,Sports,Photography,more than 80,more than 75,B.Sc. in Forensic Science,Certificate Course in Dramatics (In Marathi),Bachelor of Library & Information Science (B.L.I.Sc.),B.Sc. In Physiotherapy,Bachelor of Engineering (Instrumentation Engineering)
Reading,Dance,History/Geography,Sports,Coding,less than 80,less than 75,Bachelor of Fine Art (B.F.A.) (Applied Art),Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor of Science in Nautical Sciences,Diploma in Yogic Education,B.Sc. Information Technology (I.T.)
Reading,Dance,History/Geography,Sports,Coding,less than 80,less than 75,Bachelor of Fine Art (B.F.A.) (Applied Art),Diploma in Music,Bachelor of Engineering (Marine Engineering),Bachelor of Science (B.Sc.) in Physics,B.Sc. Information Technology (I.T.)
Reading,Dance,History/Geography,Sports,Coding,less than 80,more than 75,Bachelor of Commerce (Banking & Insurance),B.Sc in Fashion Design,Five Year Integrated Programme (B.A. and M.A.) in German,Bachelor of Science (B.Sc.) in Physics,B.Sc. Computer Science
Reading,Dance,History/Geography,Sports,Coding,less than 80,more than 75,Bachelor of Social Work (B.S.W.),Bachelor of Music (B.Mus.),Bachelor of Arts (B.A.) in English Literature,B.Sc. In Physiotherapy,B.Sc. Information Technology (I.T.)
Reading,Dance,History/Geography,Sports,Coding,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),B.Sc. (Hospitality Studies),Diploma in Aviation Safety and Hospitality,Bachelor of Engineering (Electronics & Telecommunication Engineering)
Reading,Dance,History/Geography,Sports,Coding,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Music (B.Mus.),Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Bachelor of Physical Education (B.P.Ed.),Bachelor of Engineering (Construction Engineering)
Reading,Dance,History/Geography,Sports,Coding,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,B.Sc. (Hospitality Studies),Diploma in Aviation Safety and Hospitality,Bachelor of Engineering (Information Technology)
Reading,Dance,History/Geography,Sports,Coding,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor of Social Work (B.S.W.),B.Sc. In Physiotherapy,Bachelor of Engineering (Construction Engineering)
Reading,Dance,History/Geography,Sports,Drawing/Painting,less than 80,less than 75,Bachelor of Commerce (Banking & Insurance),Certificate Course in Dramatics (In Marathi),Bachelor of Social Work (B.S.W.),Diploma in Aviation Safety and Hospitality,Bachelor of Fine Art (B.F.A.) (Interior Decoration)
Reading,Dance,History/Geography,Sports,Drawing/Painting,less than 80,less than 75,Bachelor In Heritage Management (B.H.M.),B.Sc in Fashion Design,Diploma Course in Rainfed Agriculture,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Fine Art (B.F.A.) (Interior Decoration)
Reading,Dance,History/Geography,Sports,Drawing/Painting,less than 80,more than 75,Bachelor of Commerce (Financial Markets),Bachelor of Music (B.Mus.),Bachelor of Engineering (Marine Engineering),Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Fine Art (B.F.A.) (Ceramics)
Reading,Dance,History/Geography,Sports,Drawing/Painting,less than 80,more than 75,Bachelor of Commerce (Accounting & Finance),Certificate Course in Dramatics (In Marathi),B.Sc. (Hospitality Studies),B.Sc. in Sports Management,Bachelor of Architecture with Interior Design Course
Reading,Dance,History/Geography,Sports,Drawing/Painting,more than 80,less than 75,B.Sc. in Forensic Science,Certificate Course in Dramatics (In Marathi),Bachelor of Social Work (B.S.W.),Bachelor of Engineering (Mechanical Engineering),Bachelor of Fine Art (B.F.A.) Painting
Reading,Dance,History/Geography,Sports,Drawing/Painting,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,B.Sc. (Hospitality Studies),Bachelor of Engineering (Mechanical Engineering),Bachelor of Fine Art (B.F.A.) (Sculpture)
Reading,Dance,History/Geography,Sports,Drawing/Painting,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Bachelor of Arts (B.A.) in English Literature,B.Sc. Aviation,Bachelor of Fine Art (B.F.A.) (Metal Work)
Reading,Dance,History/Geography,Sports,Drawing/Painting,more than 80,more than 75,B.Sc. in Forensic Science,Diploma in Music,Bachelor In Heritage Management (B.H.M.),Diploma in Aviation Safety and Hospitality,Bachelor of Fine Art (B.F.A.) (Sculpture)
Reading,Dance,History/Geography,Science,Music,less than 80,less than 75,Bachelor of Commerce (Banking & Insurance),Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor of Arts (B.A.) in English Literature,B.Sc. In Nursing,Bachelor of Theatre Arts
Reading,Dance,History/Geography,Science,Music,less than 80,less than 75,Five Year Integrated Programme (B.A. and M.A.) in German,B.Sc. in Home Science,Bachelor In Heritage Management (B.H.M.),B.Sc. In Physiotherapy,Certificate Course in Light Music
Reading,Dance,History/Geography,Science,Music,less than 80,more than 75,Five Year Integrated Programme (B.A. and M.A.) in German,B.Sc in Fashion Design,Bachelor of Engineering (Marine Engineering),B.Sc. Information Technology (I.T.),Bachelor of Theatre Arts
Reading,Dance,History/Geography,Science,Music,less than 80,more than 75,"B.A. Programme in Film, Television and New Media Production",Diploma in Music,Bachelor of Library & Information Science (B.L.I.Sc.),Diploma Course in Rainfed Agriculture,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental)
Reading,Dance,History/Geography,Science,Music,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Bachelor of Engineering (Marine Engineering),Bachelor of Engineering (Bio-Medical Engineering),Bachelor of Architecture with Interior Design Course
Reading,Dance,History/Geography,Science,Music,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Dance,Diploma Course in Rainfed Agriculture,Bachelor of Engineering (Bio-Medical Engineering),Advanced Certificate Course in Sound Recording and Reproduction
Reading,Dance,History/Geography,Science,Music,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,Bachelor of Fine Art (B.F.A.) Painting,Bachelor of Engineering (Computer Engineering),Certificate Course in Studio Singing Technique
Reading,Dance,History/Geography,Science,Music,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Music (B.Mus.),Bachelor of Fine Art (B.F.A.) Painting,Bachelor of Engineering (Computer Engineering),Bachelor of Music (B.Mus.)
Reading,Dance,History/Geography,Science,Cooking/Baking,less than 80,less than 75,Bachelor of Commerce (Banking & Insurance),Bachelor of Music (B.Mus.),Bachelor of Fine Art (B.F.A.) Painting,Bachelor of Science in Nautical Sciences,Bachelor of Theatre Arts
Reading,Dance,History/Geography,Science,Cooking/Baking,less than 80,less than 75,Bachelor In Heritage Management (B.H.M.),Bachelor of Performing Arts (B.P.A.) - Dance,Five Year Integrated Programme (B.A. and M.A.) in German,B.Sc. Information Technology (I.T.),Diploma in Yogic Education
Reading,Dance,History/Geography,Science,Cooking/Baking,less than 80,more than 75,Bachelor of Commerce (Financial Markets),Certificate Course in Dramatics (In Marathi),Bachelor of Social Work (B.S.W.),B.Sc. In Life Sciences,Certificate Course in Food Processing and Preservation
Reading,Dance,History/Geography,Science,Cooking/Baking,less than 80,more than 75,Bachelor of Fine Art (B.F.A.) (Applied Art),Bachelor of Music (B.Mus.),B.Sc. (Hospitality Studies),Bachelor of Science (B.Sc.) in Mathematics,Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Science,Cooking/Baking,more than 80,less than 75,B.Sc. in Forensic Science,Certificate Course in Dramatics (In Marathi),B.Sc. in Environmental Sciences,Bachelor of Engineering (Construction Engineering),Bachelor of Science (B.Sc.) in Chemistry
Reading,Dance,History/Geography,Science,Cooking/Baking,more than 80,less than 75,B.Sc. in Forensic Science,Certificate Course in Dramatics (In Marathi),Bachelor of Engineering (Marine Engineering),Bachelor of Engineering (Electronics & Telecommunication Engineering),Diploma in Yogic Education
Reading,Dance,History/Geography,Science,Cooking/Baking,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,B.Sc. in Environmental Sciences,Bachelor of Engineering (Marine Engineering),Certificate Course in Food Processing and Preservation
Reading,Dance,History/Geography,Science,Cooking/Baking,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,B.Sc. (Hospitality Studies),Bachelor of Engineering (Bio-Medical Engineering),Diploma in Yogic Education
Reading,Dance,History/Geography,Science,Photography,less than 80,less than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,B.Sc. in Home Science,B.Sc. (Hospitality Studies),Bachelor of Science (B.Sc.) in Mathematics,Bachelor of Fine Art (B.F.A.) (Metal Work)
Reading,Dance,History/Geography,Science,Photography,less than 80,less than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor of Engineering (Marine Engineering),B.Sc. Information Technology (I.T.),"B.A. Programme in Film, Television and New Media Production"
Reading,Dance,History/Geography,Science,Photography,less than 80,more than 75,Bachelor of Commerce (Financial Markets),B.Sc in Fashion Design,Five Years Integrated Programme (B.A. and M.A.) in Russian,Bachelor of Science (B.Sc.) in Mathematics,Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Science,Photography,less than 80,more than 75,Five Year Integrated Programme (B.A. and M.A.) in German,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor In Heritage Management (B.H.M.),B.Sc. Aviation,Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Science,Photography,more than 80,less than 75,B.Sc. in Forensic Science,Diploma in Music,Bachelor In Heritage Management (B.H.M.),Bachelor of Engineering (Electronics & Telecommunication Engineering),Bachelor of Engineering (Instrumentation Engineering)
Reading,Dance,History/Geography,Science,Photography,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Bachelor In Heritage Management (B.H.M.),Bachelor of Engineering (Chemical Engineering),Bachelor of Pharmaceutical Sciences (B.Pharm. Sci.)
Reading,Dance,History/Geography,Science,Photography,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Dance,B.Sc. (Hospitality Studies),Bachelor of Engineering (Chemical Engineering),Bachelor of Pharmaceutical Sciences (B.Pharm. Sci.)
Reading,Dance,History/Geography,Science,Photography,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,B.Sc. (Hospitality Studies),Bachelor of Engineering (Electronics & Telecommunication Engineering),Bachelor of Engineering (Instrumentation Engineering)
Reading,Dance,History/Geography,Science,Coding,less than 80,less than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),B.Sc. Computer Science,B.Sc. Computer Science
Reading,Dance,History/Geography,Science,Coding,less than 80,less than 75,Bachelor of Fine Art (B.F.A.) (Applied Art),B.Sc in Fashion Design,Bachelor of Science in Nautical Sciences,B.Sc. In Biochemistry,B.Sc. Computer Science
Reading,Dance,History/Geography,Science,Coding,less than 80,more than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,B.Sc. in Home Science,Bachelor of Arts (B.A.) in English Literature,Diploma in Aviation Safety and Hospitality,B.Sc. Computer Science
Reading,Dance,History/Geography,Science,Coding,less than 80,more than 75,Bachelor of Commerce (Accounting & Finance),B.Sc. in Home Science,Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),B.Sc. In Nursing,B.Sc. Computer Science
Reading,Dance,History/Geography,Science,Coding,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,B.Sc. (Hospitality Studies),Bachelor of Engineering (Information Technology),Bachelor of Engineering (Computer Engineering)
Reading,Dance,History/Geography,Science,Coding,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,Bachelor of Library & Information Science (B.L.I.Sc.),Bachelor of Engineering (Chemical Engineering),Bachelor of Engineering (Information Technology)
Reading,Dance,History/Geography,Science,Coding,more than 80,more than 75,B.Sc. in Forensic Science,Diploma in Music,Bachelor of Arts (B.A.) in English Literature,Bachelor of Engineering (Construction Engineering),Bachelor of Engineering (Computer Engineering)
Reading,Dance,History/Geography,Science,Coding,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Music (B.Mus.),Bachelor of Science in Nautical Sciences,Bachelor of Engineering (Civil Engineering),Bachelor of Engineering (Construction Engineering)
Reading,Dance,History/Geography,Science,Drawing/Painting,less than 80,less than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Five Years Integrated Programme (B.A. and M.A.) in Russian,Bachelor of Science in Nautical Sciences,Bachelor of Fine Art (B.F.A.) (Applied Art)
Reading,Dance,History/Geography,Science,Drawing/Painting,less than 80,less than 75,Bachelor of Commerce (Banking & Insurance),Diploma in Music,Bachelor of Science in Nautical Sciences,Bachelor of Science (B.Sc.) in Chemistry,Bachelor of Architecture with Interior Design Course
Reading,Dance,History/Geography,Science,Drawing/Painting,less than 80,more than 75,"B.A. Programme in Film, Television and New Media Production",B.Sc. in Home Science,Five Year Integrated Programme (B.A. and M.A.) in German,Bachelor of Science in Nautical Sciences,Bachelor of Fine Art (B.F.A.) (Ceramics)
Reading,Dance,History/Geography,Science,Drawing/Painting,less than 80,more than 75,Bachelors of Mass Media (B.M.M.),B.Sc in Fashion Design,Bachelor of Fine Art (B.F.A.) Painting,B.Sc. In Biochemistry,B.Sc in Fashion Design
Reading,Dance,History/Geography,Science,Drawing/Painting,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Diploma Course in Rainfed Agriculture,Bachelor of Engineering (Construction Engineering),Bachelor of Fine Art (B.F.A.) (Applied Art)
Reading,Dance,History/Geography,Science,Drawing/Painting,more than 80,less than 75,B.Sc. in Forensic Science,Diploma in Music,Bachelor of Fine Art (B.F.A.) Painting,Bachelor of Engineering (Mechanical Engineering),Bachelor of Architecture with Interior Design Course
Reading,Dance,History/Geography,Science,Drawing/Painting,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Five Years Integrated Programme (B.A. and M.A.) in Russian,Bachelor of Engineering (Construction Engineering),Bachelor of Fine Art (B.F.A.) (Interior Decoration)
Reading,Dance,History/Geography,Science,Drawing/Painting,more than 80,more than 75,B.Sc. in Forensic Science,Diploma in Music,Bachelor of Engineering (Marine Engineering),Bachelor of Engineering (Bio-Medical Engineering),Bachelor of Architecture (B.Arch.)
Reading,Dance,History/Geography,Music,Cooking/Baking,less than 80,less than 75,Bachelor of Commerce (Banking & Insurance),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor of Library & Information Science (B.L.I.Sc.),B.Sc. in Maritime Hospitality Studies,Diploma in Yogic Education
Reading,Dance,History/Geography,Music,Cooking/Baking,less than 80,less than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Music (B.Mus.),Bachelor In Heritage Management (B.H.M.),Certificate Course in Music Appreciation and Music Journalism,Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Music,Cooking/Baking,less than 80,more than 75,Bachelor of Social Work (B.S.W.),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),B.Sc. (Hospitality Studies),Bachelor of Theatre Arts,B.Sc. In Nursing
Reading,Dance,History/Geography,Music,Cooking/Baking,less than 80,more than 75,Bachelor of Commerce (Financial Markets),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Diploma in Music,Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Music,Cooking/Baking,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),B.Sc. in Maritime Hospitality Studies,Diploma in Yogic Education
Reading,Dance,History/Geography,Music,Cooking/Baking,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Bachelor of Social Work (B.S.W.),Diploma in Music,Diploma in Yogic Education
Reading,Dance,History/Geography,Music,Cooking/Baking,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Bachelor of Arts (B.A.) in English Literature,Certificate Course in Music Appreciation and Music Journalism,B.Sc. in Maritime Hospitality Studies
Reading,Dance,History/Geography,Music,Cooking/Baking,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor In Heritage Management (B.H.M.),Bachelor of Music (B.Mus.),Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Music,Photography,less than 80,less than 75,Bachelor of Library & Information Science (B.L.I.Sc.),B.Sc. in Home Science,Bachelor In Heritage Management (B.H.M.),Certificate Course in Light Music,Certificate Course in Sound Recording and Reproduction
Reading,Dance,History/Geography,Music,Photography,less than 80,less than 75,Bachelors of Mass Media (B.M.M.),Diploma in Music,Bachelor of Social Work (B.S.W.),Certificate Course in Light Music,Diploma in Bakery and Confectionary
Reading,Dance,History/Geography,Music,Photography,less than 80,more than 75,Bachelor of Commerce (Banking & Insurance),Diploma in Music,Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Certificate Course in Studio Singing Technique,Certificate Courses in Performing Folk Arts
Reading,Dance,History/Geography,Music,Photography,less than 80,more than 75,Bachelor of Commerce (Accounting & Finance),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor of Social Work (B.S.W.),Certificate Course in Light Music,Certificate Course in Light Music
Reading,Dance,History/Geography,Music,Photography,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,Bachelor of Fine Art (B.F.A.) Painting,Certificate Course in Music Appreciation and Music Journalism,Bachelor of Pharmaceutical Sciences (B.Pharm. Sci.)
Reading,Dance,History/Geography,Music,Photography,more than 80,less than 75,B.Sc. in Forensic Science,Diploma in Music,Bachelor of Arts (B.A.) in English Literature,Advanced Certificate Course in Sound Recording and Reproduction,Bachelor of Engineering (Instrumentation Engineering)
Reading,Dance,History/Geography,Music,Photography,more than 80,more than 75,B.Sc. in Forensic Science,B.Sc. in Home Science,Bachelor of Science in Nautical Sciences,Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor of Pharmaceutical Sciences (B.Pharm. Sci.)
Reading,Dance,History/Geography,Music,Photography,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Music (B.Mus.),Bachelor of Social Work (B.S.W.),Certificate Course in Studio Singing Technique,Bachelor of Engineering (Instrumentation Engineering)
Reading,Dance,History/Geography,Music,Coding,less than 80,less than 75,Bachelor of Management Studies (B.M.S.),Diploma in Music,B.Sc. in Environmental Sciences,Bachelor of Music (B.Mus.),B.Sc. Information Technology (I.T.)
Reading,Dance,History/Geography,Music,Coding,less than 80,less than 75,Bachelor of Arts (B.A.) in English Literature,Bachelor of Performing Arts (B.P.A.) - Dance,B.Sc. in Environmental Sciences,Bachelor of Architecture with Interior Design Course,B.Sc. Computer Science
Reading,Dance,History/Geography,Music,Coding,less than 80,more than 75,Bachelors of Mass Media (B.M.M.),Certificate Course in Dramatics (In Marathi),Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Bachelor of Fine Art (B.F.A.) (Ceramics),B.Sc. Information Technology (I.T.)
